LCLid,Acorn,cluster_id
MAC000919,ACORN-P,1
MAC000920,ACORN-F,2
MAC000921,ACORN-Q,1
MAC000922,ACORN-F,2
MAC000923,ACORN-M,1
MAC000924,ACORN-K,1
MAC000925,ACORN-K,1
MAC000926,ACORN-Q,1
MAC000927,ACORN-H,0
MAC000928,ACORN-Q,1
MAC000929,ACORN-O,1
MAC000930,ACORN-N,1
MAC000931,ACORN-D,2
MAC000932,ACORN-H,2
MAC000933,ACORN-F,2
MAC000934,ACORN-F,0
MAC000935,ACORN-E,2
MAC000936,ACORN-E,2
MAC000937,ACORN-P,1
MAC000938,ACORN-N,1
MAC000939,ACORN-E,2
MAC000940,ACORN-E,0
MAC000941,ACORN-E,2
MAC000942,ACORN-E,2
MAC000943,ACORN-Q,1
MAC000944,ACORN-Q,1
MAC000945,ACORN-E,2
MAC000946,ACORN-H,2
MAC000947,ACORN-Q,1
MAC000948,ACORN-A,2
MAC000949,ACORN-Q,0
MAC000950,ACORN-E,2
MAC000951,ACORN-E,2
MAC000952,ACORN-Q,1
MAC000953,ACORN-L,1
MAC000954,ACORN-Q,1
MAC000955,ACORN-H,2
MAC000956,ACORN-E,2
MAC000957,ACORN-D,0
MAC000958,ACORN-E,2
MAC000959,ACORN-L,1
MAC000960,ACORN-E,2
MAC000961,ACORN-Q,1
MAC000962,ACORN-F,2
MAC000963,ACORN-Q,1
MAC000964,ACORN-E,0
MAC000965,ACORN-H,2
MAC000966,ACORN-H,0
MAC000967,ACORN-Q,1
MAC000968,ACORN-E,2
MAC000969,ACORN-F,2
MAC000970,ACORN-J,2
MAC000971,ACORN-Q,1
MAC000972,ACORN-E,2
MAC000973,ACORN-E,2
MAC000974,ACORN-A,2
MAC000975,ACORN-E,2
MAC000976,ACORN-O,1
MAC000977,ACORN-E,2
MAC000978,ACORN-Q,1
MAC000979,ACORN-L,1
MAC000980,ACORN-F,2
MAC000981,ACORN-Q,1
MAC000982,ACORN-E,2
MAC000983,ACORN-D,0
MAC000984,ACORN-F,2
MAC000985,ACORN-D,0
MAC000986,ACORN-F,2
MAC000987,ACORN-J,0
MAC000988,ACORN-F,2
MAC000989,ACORN-Q,1
MAC000990,ACORN-E,2
MAC000991,ACORN-E,2
MAC000992,ACORN-F,2
MAC000993,ACORN-E,2
MAC000994,ACORN-E,2
MAC000995,ACORN-H,0
MAC000996,ACORN-F,2
MAC000997,ACORN-Q,1
MAC000998,ACORN-H,2
MAC000999,ACORN-P,1
MAC001000,ACORN-D,2
MAC001001,ACORN-E,2
MAC001002,ACORN-Q,1
MAC001003,ACORN-Q,1
MAC001004,ACORN-E,0
MAC001005,ACORN-K,1
MAC001006,ACORN-L,1
MAC001007,ACORN-Q,1
MAC001008,ACORN-Q,1
MAC001009,ACORN-H,0
MAC001010,ACORN-L,1
MAC001011,ACORN-E,0
MAC001012,ACORN-G,2
MAC001013,ACORN-E,2
MAC001014,ACORN-E,0
MAC001015,ACORN-E,2
MAC001016,ACORN-H,2
MAC001017,ACORN-N,1
MAC001018,ACORN-Q,1
MAC001019,ACORN-F,2
MAC001020,ACORN-Q,1
MAC001021,ACORN-F,2
MAC001022,ACORN-E,2
MAC001023,ACORN-F,2
MAC001024,ACORN-E,2
MAC001025,ACORN-F,2
MAC001026,ACORN-N,1
MAC001027,ACORN-E,2
MAC001028,ACORN-F,2
MAC001029,ACORN-E,0
MAC001030,ACORN-E,2
MAC001031,ACORN-Q,1
MAC001032,ACORN-E,0
MAC001033,ACORN-F,2
MAC001034,ACORN-N,1
MAC001035,ACORN-Q,1
MAC001036,ACORN-G,0
MAC001037,ACORN-Q,1
MAC001038,ACORN-Q,1
MAC001039,ACORN-E,2
MAC001040,ACORN-Q,1
MAC001041,ACORN-Q,1
MAC001042,ACORN-E,2
MAC001043,ACORN-E,2
MAC001044,ACORN-H,0
MAC001045,ACORN-H,2
MAC001046,ACORN-M,0
MAC001047,ACORN-Q,1
MAC001048,ACORN-Q,1
MAC001049,ACORN-Q,1
MAC001050,ACORN-Q,1
MAC001051,ACORN-Q,1
MAC001052,ACORN-E,2
MAC001053,ACORN-E,2
MAC001054,ACORN-K,0
MAC001055,ACORN-F,2
MAC001056,ACORN-E,2
MAC001057,ACORN-L,1
MAC001058,ACORN-P,1
MAC001059,ACORN-M,1
MAC001060,ACORN-E,0
MAC001061,ACORN-K,1
MAC001062,ACORN-Q,1
MAC001063,ACORN-K,1
MAC001064,ACORN-C,2
MAC001065,ACORN-K,1
MAC001066,ACORN-E,2
MAC001067,ACORN-Q,1
MAC001068,ACORN-K,1
MAC001069,ACORN-G,2
MAC001070,ACORN-D,2
MAC001071,ACORN-G,2
MAC001072,ACORN-P,1
MAC001073,ACORN-E,2
MAC001075,ACORN-E,2
MAC001076,ACORN-H,0
MAC001077,ACORN-E,2
MAC001078,ACORN-F,2
MAC001079,ACORN-F,2
MAC001080,ACORN-F,2
MAC001081,ACORN-E,0
MAC001082,ACORN-E,2
MAC001083,ACORN-Q,1
MAC001084,ACORN-F,2
MAC001085,ACORN-K,1
MAC001086,ACORN-Q,1
MAC001087,ACORN-E,0
MAC001088,ACORN-H,2
MAC001089,ACORN-Q,1
MAC001090,ACORN-F,2
MAC001091,ACORN-H,2
MAC001092,ACORN-Q,1
MAC001093,ACORN-H,2
MAC001094,ACORN-Q,1
MAC001095,ACORN-M,0
MAC001096,ACORN-E,2
MAC001097,ACORN-E,2
MAC001098,ACORN-D,0
MAC001099,ACORN-E,0
MAC001100,ACORN-Q,1
MAC001101,ACORN-P,1
MAC001102,ACORN-Q,1
MAC001103,ACORN-F,2
MAC001104,ACORN-K,1
MAC001105,ACORN-E,2
MAC001106,ACORN-Q,1
MAC001107,ACORN-E,0
MAC001108,ACORN-E,2
MAC001109,ACORN-E,0
MAC001110,ACORN-E,0
MAC001111,ACORN-E,2
MAC001112,ACORN-L,1
MAC001113,ACORN-L,1
MAC001114,ACORN-L,1
MAC001115,ACORN-E,2
MAC001116,ACORN-D,0
MAC001117,ACORN-E,2
MAC001118,ACORN-H,2
MAC001119,ACORN-N,1
MAC001120,ACORN-H,2
MAC001121,ACORN-F,2
MAC001122,ACORN-Q,1
MAC001123,ACORN-E,2
MAC001124,ACORN-F,2
MAC001125,ACORN-F,0
MAC001126,ACORN-K,1
MAC001127,ACORN-L,1
MAC001128,ACORN-Q,1
MAC001129,ACORN-Q,1
MAC001130,ACORN-E,2
MAC001131,ACORN-Q,1
MAC001132,ACORN-Q,1
MAC001133,ACORN-O,1
MAC001134,ACORN-E,2
MAC001135,ACORN-D,2
MAC001136,ACORN-F,2
MAC001137,ACORN-Q,1
MAC001138,ACORN-E,2
MAC001139,ACORN-F,2
MAC001140,ACORN-C,2
MAC001141,ACORN-F,2
MAC001142,ACORN-E,2
MAC001143,ACORN-E,2
MAC001144,ACORN-E,2
MAC001145,ACORN-A,0
MAC001146,ACORN-Q,1
MAC001147,ACORN-U,1
MAC001148,ACORN-E,2
MAC001149,ACORN-E,2
MAC001151,ACORN-H,2
MAC001152,ACORN-E,2
MAC001153,ACORN-Q,1
MAC001154,ACORN-E,2
MAC001155,ACORN-H,2
MAC001156,ACORN-Q,1
MAC001157,ACORN-D,2
MAC001158,ACORN-E,2
MAC001159,ACORN-L,1
MAC001160,ACORN-E,0
MAC001161,ACORN-E,2
MAC001162,ACORN-Q,1
MAC001163,ACORN-E,2
MAC001164,ACORN-E,2
MAC001165,ACORN-P,1
MAC001166,ACORN-D,2
MAC001167,ACORN-O,1
MAC001168,ACORN-Q,1
MAC001169,ACORN-F,2
MAC001170,ACORN-F,2
MAC001171,ACORN-H,0
MAC001172,ACORN-J,2
MAC001173,ACORN-E,2
MAC001174,ACORN-L,1
MAC001175,ACORN-E,2
MAC001176,ACORN-Q,1
MAC001177,ACORN-P,1
MAC001178,ACORN-K,1
MAC001179,ACORN-Q,1
MAC001180,ACORN-E,2
MAC001181,ACORN-E,2
MAC001182,ACORN-E,2
MAC001183,ACORN-L,0
MAC001184,ACORN-E,2
MAC001185,ACORN-M,1
MAC001186,ACORN-F,2
MAC001187,ACORN-L,1
MAC001188,ACORN-Q,1
MAC001189,ACORN-E,2
MAC001190,ACORN-Q,1
MAC001191,ACORN-E,2
MAC001192,ACORN-M,0
MAC001193,ACORN-Q,1
MAC001194,ACORN-E,2
MAC001195,ACORN-K,0
MAC001196,ACORN-E,0
MAC001197,ACORN-F,2
MAC001198,ACORN-E,0
MAC001199,ACORN-E,2
MAC001200,ACORN-F,2
MAC001201,ACORN-I,2
MAC001202,ACORN-E,0
MAC001203,ACORN-E,0
MAC001204,ACORN-Q,1
MAC001205,ACORN-N,1
MAC001206,ACORN-E,2
MAC001207,ACORN-Q,1
MAC001208,ACORN-F,2
MAC001209,ACORN-E,2
MAC001210,ACORN-F,2
MAC001211,ACORN-F,2
MAC001212,ACORN-N,1
MAC001213,ACORN-Q,1
MAC001214,ACORN-F,2
MAC001215,ACORN-E,0
MAC001216,ACORN-F,2
MAC001217,ACORN-F,2
MAC001218,ACORN-Q,1
MAC001219,ACORN-C,0
MAC001220,ACORN-H,2
MAC001221,ACORN-D,2
MAC001222,ACORN-Q,1
MAC001223,ACORN-E,2
MAC001224,ACORN-E,0
MAC001225,ACORN-K,1
MAC001226,ACORN-Q,1
MAC001227,ACORN-G,2
MAC001228,ACORN-F,2
MAC001229,ACORN-H,2
MAC001230,ACORN-Q,1
MAC001231,ACORN-Q,1
MAC001232,ACORN-D,2
MAC001233,ACORN-H,2
MAC001234,ACORN-Q,1
MAC001235,ACORN-D,2
MAC001236,ACORN-E,2
MAC001237,ACORN-Q,1
MAC001238,ACORN-Q,1
MAC001239,ACORN-A,2
MAC001240,ACORN-H,0
MAC001241,ACORN-E,2
MAC001242,ACORN-F,2
MAC001243,ACORN-Q,1
MAC001244,ACORN-N,1
MAC001245,ACORN-E,2
MAC001246,ACORN-J,2
MAC001247,ACORN-Q,1
MAC001248,ACORN-F,2
MAC001249,ACORN-F,2
MAC001250,ACORN-J,2
MAC001251,ACORN-A,0
MAC001252,ACORN-E,0
MAC001253,ACORN-G,2
MAC001254,ACORN-P,1
MAC001255,ACORN-D,2
MAC001256,ACORN-U,1
MAC001257,ACORN-Q,1
MAC001258,ACORN-D,0
MAC001259,ACORN-I,2
MAC001260,ACORN-E,2
MAC001261,ACORN-H,2
MAC001262,ACORN-F,2
MAC001263,ACORN-J,2
MAC001264,ACORN-F,2
MAC001265,ACORN-F,2
MAC001266,ACORN-Q,1
MAC001267,ACORN-P,1
MAC001268,ACORN-F,2
MAC001269,ACORN-Q,1
MAC001270,ACORN-F,2
MAC001271,ACORN-A,2
MAC001272,ACORN-H,2
MAC001273,ACORN-N,1
MAC001274,ACORN-E,2
MAC001275,ACORN-Q,1
MAC001276,ACORN-E,2
MAC001277,ACORN-E,2
MAC001279,ACORN-E,2
MAC001280,ACORN-F,2
MAC001281,ACORN-F,2
MAC001282,ACORN-Q,1
MAC001283,ACORN-E,0
MAC001284,ACORN-E,2
MAC001285,ACORN-N,1
MAC001286,ACORN-K,0
MAC001287,ACORN-E,2
MAC001288,ACORN-H,2
MAC001289,ACORN-Q,1
MAC001290,ACORN-F,2
MAC001291,ACORN-O,1
MAC001292,ACORN-I,2
MAC001293,ACORN-Q,1
MAC001294,ACORN-E,2
MAC001295,ACORN-H,2
MAC001296,ACORN-F,2
MAC001297,ACORN-H,2
MAC001298,ACORN-Q,1
MAC001299,ACORN-E,2
MAC001301,ACORN-F,2
MAC001302,ACORN-H,2
MAC001303,ACORN-E,2
MAC001304,ACORN-E,2
MAC001305,ACORN-E,2
MAC001306,ACORN-H,0
MAC001307,ACORN-L,1
MAC001308,ACORN-F,2
MAC001309,ACORN-K,1
MAC001310,ACORN-F,0
MAC001311,ACORN-E,0
MAC001312,ACORN-F,2
MAC001313,ACORN-C,2
MAC001314,ACORN-Q,1
MAC001315,ACORN-E,0
MAC001316,ACORN-Q,1
MAC001317,ACORN-H,2
MAC001318,ACORN-Q,1
MAC001319,ACORN-E,2
MAC001320,ACORN-E,0
MAC001321,ACORN-E,2
MAC001322,ACORN-H,2
MAC001323,ACORN-L,0
MAC001324,ACORN-L,0
MAC001325,ACORN-E,2
MAC001326,ACORN-N,1
MAC001327,ACORN-F,2
MAC001328,ACORN-E,2
MAC001329,ACORN-E,2
MAC001330,ACORN-Q,1
MAC001331,ACORN-Q,1
MAC001332,ACORN-E,2
MAC001333,ACORN-E,2
MAC001334,ACORN-Q,1
MAC001335,ACORN-G,2
MAC001336,ACORN-K,1
MAC001337,ACORN-E,2
MAC001338,ACORN-K,0
MAC001339,ACORN-M,1
MAC001340,ACORN-N,1
MAC001341,ACORN-L,0
MAC001342,ACORN-Q,1
MAC001343,ACORN-Q,1
MAC001344,ACORN-E,2
MAC001345,ACORN-Q,1
MAC001346,ACORN-Q,1
MAC001347,ACORN-E,2
MAC001348,ACORN-U,0
MAC001349,ACORN-P,1
MAC001350,ACORN-E,0
MAC001351,ACORN-Q,1
MAC001352,ACORN-D,2
MAC001353,ACORN-E,2
MAC001354,ACORN-G,0
MAC001355,ACORN-M,1
MAC001356,ACORN-H,2
MAC001357,ACORN-H,0
MAC001358,ACORN-E,2
MAC001359,ACORN-D,2
MAC001360,ACORN-E,2
MAC001361,ACORN-E,2
MAC001362,ACORN-P,1
MAC001363,ACORN-E,2
MAC001364,ACORN-N,1
MAC001365,ACORN-Q,1
MAC001366,ACORN-E,2
MAC001367,ACORN-E,2
MAC001368,ACORN-F,2
MAC001369,ACORN-J,2
MAC001370,ACORN-D,2
MAC001371,ACORN-C,2
MAC001372,ACORN-F,2
MAC001373,ACORN-L,1
MAC001374,ACORN-E,2
MAC001375,ACORN-Q,1
MAC001376,ACORN-E,0
MAC001377,ACORN-F,2
MAC001378,ACORN-E,2
MAC001379,ACORN-P,1
MAC001380,ACORN-N,0
MAC001381,ACORN-Q,1
MAC001382,ACORN-F,2
MAC001383,ACORN-Q,1
MAC001384,ACORN-E,2
MAC001385,ACORN-P,1
MAC001386,ACORN-E,2
MAC001387,ACORN-E,2
MAC001388,ACORN-M,1
MAC001389,ACORN-Q,1
MAC001390,ACORN-F,0
MAC001391,ACORN-F,2
MAC001392,ACORN-M,1
MAC001393,ACORN-G,2
MAC001394,ACORN-Q,1
MAC001395,ACORN-C,0
MAC001396,ACORN-G,2
MAC001397,ACORN-K,1
MAC001398,ACORN-Q,1
MAC001399,ACORN-H,2
MAC001400,ACORN-Q,1
MAC001401,ACORN-C,2
MAC001402,ACORN-D,2
MAC001403,ACORN-F,2
MAC001404,ACORN-E,0
MAC001405,ACORN-E,0
MAC001406,ACORN-Q,1
MAC001407,ACORN-E,2
MAC001408,ACORN-H,2
MAC001409,ACORN-N,1
MAC001410,ACORN-B,2
MAC001411,ACORN-E,0
MAC001412,ACORN-E,2
MAC001413,ACORN-Q,1
MAC001414,ACORN-E,2
MAC001415,ACORN-K,1
MAC001416,ACORN-E,0
MAC001417,ACORN-L,1
MAC001418,ACORN-Q,1
MAC001419,ACORN-G,2
MAC001420,ACORN-D,2
MAC001421,ACORN-Q,1
MAC001422,ACORN-F,2
MAC001423,ACORN-L,1
MAC001424,ACORN-E,2
MAC001425,ACORN-D,0
MAC001426,ACORN-Q,1
MAC001427,ACORN-F,2
MAC001428,ACORN-Q,1
MAC001429,ACORN-E,0
MAC001430,ACORN-E,2
MAC001431,ACORN-Q,1
MAC001432,ACORN-F,2
MAC001433,ACORN-E,0
MAC001434,ACORN-E,2
MAC001435,ACORN-N,1
MAC001436,ACORN-E,2
MAC001437,ACORN-D,2
MAC001438,ACORN-G,2
MAC001439,ACORN-Q,1
MAC001440,ACORN-L,1
MAC001441,ACORN-Q,1
MAC001442,ACORN-E,2
MAC001443,ACORN-E,0
MAC001444,ACORN-H,2
MAC001445,ACORN-E,0
MAC001446,ACORN-I,2
MAC001447,ACORN-F,2
MAC001448,ACORN-B,2
MAC001449,ACORN-Q,1
MAC001450,ACORN-F,0
MAC001451,ACORN-E,0
MAC001452,ACORN-E,2
MAC001453,ACORN-H,2
MAC001454,ACORN-E,2
MAC001455,ACORN-Q,1
MAC001456,ACORN-M,1
MAC001457,ACORN-E,2
MAC001458,ACORN-F,2
MAC001459,ACORN-Q,1
MAC001460,ACORN-Q,1
MAC001461,ACORN-E,2
MAC001462,ACORN-H,2
MAC001463,ACORN-F,0
MAC001464,ACORN-L,1
MAC001465,ACORN-C,0
MAC001466,ACORN-F,2
MAC001467,ACORN-K,1
MAC001468,ACORN-O,1
MAC001469,ACORN-E,0
MAC001470,ACORN-E,0
MAC001471,ACORN-C,0
MAC001472,ACORN-M,1
MAC001473,ACORN-G,2
MAC001474,ACORN-L,1
MAC001475,ACORN-E,2
MAC001476,ACORN-M,1
MAC001477,ACORN-E,0
MAC001478,ACORN-E,2
MAC001479,ACORN-E,0
MAC001480,ACORN-N,1
MAC001481,ACORN-F,2
MAC001482,ACORN-E,2
MAC001483,ACORN-Q,1
MAC001484,ACORN-N,1
MAC001485,ACORN-N,1
MAC001486,ACORN-K,0
MAC001487,ACORN-E,2
MAC001488,ACORN-C,2
MAC001489,ACORN-Q,1
MAC001490,ACORN-F,2
MAC001491,ACORN-F,2
MAC001492,ACORN-F,2
MAC001493,ACORN-K,1
MAC001494,ACORN-H,2
MAC001495,ACORN-D,0
MAC001496,ACORN-Q,1
MAC001497,ACORN-H,2
MAC001498,ACORN-E,2
MAC001499,ACORN-E,2
MAC001500,ACORN-E,2
MAC001501,ACORN-E,2
MAC001502,ACORN-D,0
MAC001503,ACORN-Q,1
MAC001504,ACORN-E,2
MAC001505,ACORN-K,1
MAC001506,ACORN-E,0
MAC001507,ACORN-H,2
MAC001508,ACORN-F,2
MAC001509,ACORN-Q,1
MAC001510,ACORN-A,0
MAC001511,ACORN-L,1
MAC001512,ACORN-L,1
MAC001513,ACORN-E,2
MAC001514,ACORN-E,0
MAC001515,ACORN-F,2
MAC001516,ACORN-E,2
MAC001517,ACORN-E,2
MAC001518,ACORN-D,2
MAC001519,ACORN-E,2
MAC001520,ACORN-L,1
MAC001521,ACORN-E,2
MAC001522,ACORN-E,0
MAC001523,ACORN-F,2
MAC001524,ACORN-N,1
MAC001525,ACORN-H,2
MAC001526,ACORN-E,2
MAC001527,ACORN-Q,1
MAC001528,ACORN-A,2
MAC001529,ACORN-E,2
MAC001530,ACORN-O,1
MAC001531,ACORN-J,2
MAC001532,ACORN-E,0
MAC001533,ACORN-A,2
MAC001534,ACORN-E,2
MAC001535,ACORN-F,2
MAC001536,ACORN-L,1
MAC001537,ACORN-E,0
MAC001538,ACORN-I,0
MAC001539,ACORN-D,2
MAC001540,ACORN-Q,1
MAC001541,ACORN-E,0
MAC001542,ACORN-F,2
MAC001543,ACORN-F,2
MAC001544,ACORN-C,0
MAC001545,ACORN-Q,1
MAC001546,ACORN-Q,1
MAC001547,ACORN-E,2
MAC001548,ACORN-F,0
MAC001549,ACORN-Q,1
MAC001550,ACORN-M,1
MAC001551,ACORN-N,1
MAC001552,ACORN-D,2
MAC001553,ACORN-C,2
MAC001554,ACORN-Q,1
MAC001555,ACORN-N,1
MAC001556,ACORN-E,0
MAC001557,ACORN-Q,1
MAC001558,ACORN-Q,1
MAC001559,ACORN-J,2
MAC001560,ACORN-Q,1
MAC001561,ACORN-D,0
MAC001562,ACORN-E,0
MAC001563,ACORN-F,0
MAC001564,ACORN-E,0
MAC001565,ACORN-Q,1
MAC001566,ACORN-G,2
MAC001567,ACORN-L,1
MAC001568,ACORN-J,2
MAC001569,ACORN-F,0
MAC001570,ACORN-F,0
MAC001571,ACORN-E,0
MAC001572,ACORN-E,2
MAC001573,ACORN-F,2
MAC001574,ACORN-Q,1
MAC001575,ACORN-E,0
MAC001576,ACORN-E,0
MAC001577,ACORN-E,2
MAC001578,ACORN-K,1
MAC001579,ACORN-C,0
MAC001580,ACORN-D,2
MAC001581,ACORN-K,1
MAC001582,ACORN-Q,1
MAC001583,ACORN-Q,1
MAC001584,ACORN-D,2
MAC001585,ACORN-G,2
MAC001586,ACORN-L,1
MAC001587,ACORN-F,2
MAC001588,ACORN-L,0
MAC001589,ACORN-E,2
MAC001590,ACORN-E,0
MAC001591,ACORN-H,2
MAC001592,ACORN-G,2
MAC001593,ACORN-N,1
MAC001594,ACORN-Q,1
MAC001595,ACORN-E,2
MAC001596,ACORN-E,2
MAC001597,ACORN-L,1
MAC001598,ACORN-Q,1
MAC001599,ACORN-F,2
MAC001600,ACORN-U,1
MAC001601,ACORN-F,0
MAC001602,ACORN-F,2
MAC001603,ACORN-Q,0
MAC001604,ACORN-M,0
MAC001605,ACORN-J,2
MAC001606,ACORN-E,2
MAC001607,ACORN-N,1
MAC001608,ACORN-L,1
MAC001609,ACORN-E,2
MAC001610,ACORN-E,2
MAC001611,ACORN-M,0
MAC001612,ACORN-D,2
MAC001613,ACORN-D,0
MAC001614,ACORN-D,2
MAC001615,ACORN-F,2
MAC001616,ACORN-Q,1
MAC001617,ACORN-E,2
MAC001618,ACORN-H,2
MAC001619,ACORN-M,0
MAC001620,ACORN-Q,1
MAC001621,ACORN-N,1
MAC001622,ACORN-Q,1
MAC001623,ACORN-E,2
MAC001624,ACORN-E,2
MAC001625,ACORN-F,0
MAC001626,ACORN-G,0
MAC001627,ACORN-N,1
MAC001628,ACORN-A,2
MAC001629,ACORN-F,2
MAC001630,ACORN-F,2
MAC001631,ACORN-F,2
MAC001632,ACORN-E,2
MAC001633,ACORN-E,2
MAC001634,ACORN-J,0
MAC001635,ACORN-F,2
MAC001636,ACORN-G,2
MAC001637,ACORN-F,2
MAC001638,ACORN-D,2
MAC001639,ACORN-O,1
MAC001640,ACORN-Q,1
MAC001641,ACORN-E,0
MAC001642,ACORN-D,0
MAC001643,ACORN-N,0
MAC001644,ACORN-E,2
MAC001645,ACORN-H,2
MAC001646,ACORN-F,0
MAC001647,ACORN-E,2
MAC001648,ACORN-Q,1
MAC001649,ACORN-F,0
MAC001650,ACORN-H,2
MAC001651,ACORN-E,2
MAC001652,ACORN-C,2
MAC001653,ACORN-A,0
MAC001654,ACORN-E,2
MAC001655,ACORN-E,2
MAC001656,ACORN-D,2
MAC001657,ACORN-Q,1
MAC001658,ACORN-L,1
MAC001659,ACORN-F,2
MAC001660,ACORN-F,2
MAC001661,ACORN-C,0
MAC001662,ACORN-E,2
MAC001663,ACORN-Q,1
MAC001664,ACORN-C,0
MAC001665,ACORN-E,0
MAC001666,ACORN-K,1
MAC001667,ACORN-F,2
MAC001668,ACORN-L,1
MAC001669,ACORN-E,2
MAC001670,ACORN-E,2
MAC001671,ACORN-N,1
MAC001672,ACORN-Q,1
MAC001673,ACORN-Q,1
MAC001674,ACORN-E,2
MAC001675,ACORN-N,1
MAC001676,ACORN-E,0
MAC001677,ACORN-L,1
MAC001678,ACORN-E,2
MAC001679,ACORN-H,2
MAC001680,ACORN-G,2
MAC001681,ACORN-K,1
MAC001682,ACORN-D,2
MAC001683,ACORN-N,1
MAC001684,ACORN-Q,1
MAC001685,ACORN-F,2
MAC001686,ACORN-F,2
MAC001687,ACORN-E,2
MAC001688,ACORN-J,2
MAC001689,ACORN-A,0
MAC001690,ACORN-G,2
MAC001691,ACORN-D,2
MAC001692,ACORN-Q,0
MAC001693,ACORN-E,2
MAC001694,ACORN-F,2
MAC001695,ACORN-C,2
MAC001696,ACORN-F,0
MAC001697,ACORN-I,2
MAC001698,ACORN-D,0
MAC001699,ACORN-E,2
MAC001700,ACORN-H,2
MAC001701,ACORN-E,0
MAC001702,ACORN-E,2
MAC001703,ACORN-Q,1
MAC001704,ACORN-U,1
MAC001705,ACORN-E,0
MAC001706,ACORN-U,1
MAC001707,ACORN-E,0
MAC001708,ACORN-E,2
MAC001709,ACORN-E,2
MAC001710,ACORN-A,0
MAC001711,ACORN-E,2
MAC001712,ACORN-E,2
MAC001713,ACORN-E,0
MAC001714,ACORN-Q,1
MAC001715,ACORN-Q,1
MAC001716,ACORN-E,2
MAC001717,ACORN-D,2
MAC001718,ACORN-F,2
MAC001719,ACORN-H,2
MAC001720,ACORN-E,2
MAC001721,ACORN-F,2
MAC001722,ACORN-E,2
MAC001723,ACORN-E,2
MAC001724,ACORN-F,2
MAC001725,ACORN-E,0
MAC001726,ACORN-E,0
MAC001727,ACORN-N,1
MAC001728,ACORN-F,2
MAC001729,ACORN-F,2
MAC001730,ACORN-E,2
MAC001731,ACORN-E,2
MAC001732,ACORN-M,1
MAC001733,ACORN-F,2
MAC001734,ACORN-A,0
MAC001735,ACORN-D,0
MAC001736,ACORN-A,0
MAC001737,ACORN-E,2
MAC001738,ACORN-Q,1
MAC001739,ACORN-G,0
MAC001740,ACORN-I,2
MAC001741,ACORN-E,2
MAC001742,ACORN-L,1
MAC001743,ACORN-E,2
MAC001744,ACORN-Q,1
MAC001745,ACORN-E,2
MAC001746,ACORN-K,0
MAC001747,ACORN-Q,1
MAC001748,ACORN-Q,1
MAC001749,ACORN-H,2
MAC001750,ACORN-E,2
MAC001751,ACORN-Q,1
MAC001752,ACORN-Q,1
MAC001753,ACORN-E,2
MAC001754,ACORN-E,2
MAC001755,ACORN-Q,1
MAC001756,ACORN-E,0
MAC001757,ACORN-F,2
MAC001758,ACORN-F,0
MAC001759,ACORN-F,2
MAC001760,ACORN-F,0
MAC001761,ACORN-L,1
MAC001762,ACORN-O,1
MAC001763,ACORN-E,2
MAC001764,ACORN-F,2
MAC001765,ACORN-Q,1
MAC001766,ACORN-D,0
MAC001767,ACORN-C,2
MAC001768,ACORN-D,0
MAC001769,ACORN-F,2
MAC001770,ACORN-K,1
MAC001771,ACORN-G,0
MAC001772,ACORN-E,2
MAC001773,ACORN-Q,1
MAC001774,ACORN-K,1
MAC001775,ACORN-O,1
MAC001776,ACORN-A,2
MAC001777,ACORN-Q,1
MAC001778,ACORN-F,2
MAC001779,ACORN-Q,1
MAC001780,ACORN-E,0
MAC001781,ACORN-E,2
MAC001782,ACORN-F,2
MAC001783,ACORN-M,1
MAC001784,ACORN-F,2
MAC001785,ACORN-Q,0
MAC001786,ACORN-F,2
MAC001787,ACORN-D,2
MAC001788,ACORN-E,2
MAC001789,ACORN-F,2
MAC001790,ACORN-F,0
MAC001791,ACORN-Q,0
MAC001792,ACORN-G,2
MAC001793,ACORN-F,2
MAC001794,ACORN-E,0
MAC001795,ACORN-U,1
MAC001796,ACORN-N,1
MAC001797,ACORN-L,1
MAC001798,ACORN-Q,1
MAC001799,ACORN-K,1
MAC001800,ACORN-D,2
MAC001801,ACORN-E,2
MAC001802,ACORN-F,2
MAC001803,ACORN-D,2
MAC001804,ACORN-M,1
MAC001805,ACORN-F,0
MAC001806,ACORN-E,2
MAC001807,ACORN-G,2
MAC001808,ACORN-E,2
MAC001809,ACORN-F,0
MAC001810,ACORN-E,2
MAC001811,ACORN-Q,1
MAC001812,ACORN-E,2
MAC001813,ACORN-F,2
MAC001814,ACORN-J,2
MAC001815,ACORN-E,2
MAC001816,ACORN-N,1
MAC001817,ACORN-Q,1
MAC001818,ACORN-F,0
MAC001819,ACORN-A,2
MAC001820,ACORN-J,0
MAC001821,ACORN-D,2
MAC001822,ACORN-F,0
MAC001823,ACORN-L,1
MAC001824,ACORN-Q,1
MAC001825,ACORN-D,2
MAC001826,ACORN-D,2
MAC001827,ACORN-L,1
MAC001828,ACORN-F,2
MAC001829,ACORN-Q,1
MAC001830,ACORN-G,2
MAC001831,ACORN-E,0
MAC001832,ACORN-E,0
MAC001833,ACORN-E,2
MAC001834,ACORN-O,1
MAC001835,ACORN-B,2
MAC001836,ACORN-A,0
MAC001837,ACORN-Q,1
MAC001838,ACORN-F,2
MAC001839,ACORN-Q,1
MAC001840,ACORN-Q,1
MAC001841,ACORN-Q,1
MAC001842,ACORN-F,2
