LCLid,Acorn,cluster_id
MAC000212,ACORN-Q,1
MAC000213,ACORN-O,1
MAC000214,ACORN-E,2
MAC000215,ACORN-F,2
MAC000216,ACORN-Q,0
MAC000217,ACORN-F,2
MAC000218,ACORN-E,2
MAC000219,ACORN-E,2
MAC000220,ACORN-E,2
MAC000221,ACORN-E,0
MAC000222,ACORN-F,2
MAC000223,ACORN-Q,1
MAC000224,ACORN-E,0
MAC000225,ACORN-G,2
MAC000226,ACORN-F,0
MAC000227,ACORN-Q,0
MAC000228,ACORN-E,2
MAC000229,ACORN-F,2
MAC000230,ACORN-K,1
MAC000231,ACORN-Q,1
MAC000232,ACORN-F,2
MAC000233,ACORN-Q,1
MAC000234,ACORN-E,2
MAC000235,ACORN-E,0
MAC000236,ACORN-Q,1
MAC000237,ACORN-E,0
MAC000238,ACORN-F,2
MAC000239,ACORN-H,2
MAC000240,ACORN-F,2
MAC000241,ACORN-G,2
MAC000242,ACORN-E,2
MAC000243,ACORN-F,0
MAC000244,ACORN-F,2
MAC000245,ACORN-L,0
MAC000246,ACORN-A,0
MAC000247,ACORN-F,2
MAC000248,ACORN-F,0
MAC000249,ACORN-Q,0
MAC000250,ACORN-G,2
MAC000251,ACORN-H,2
MAC000252,ACORN-F,0
MAC000253,ACORN-E,2
MAC000254,ACORN-H,2
MAC000255,ACORN-K,0
MAC000256,ACORN-L,0
MAC000257,ACORN-E,0
MAC000258,ACORN-K,1
MAC000259,ACORN-H,2
MAC000260,ACORN-G,2
MAC000261,ACORN-F,2
MAC000262,ACORN-F,0
MAC000263,ACORN-E,2
MAC000264,ACORN-E,2
MAC000265,ACORN-F,2
MAC000266,ACORN-O,1
MAC000267,ACORN-K,1
MAC000268,ACORN-Q,1
MAC000269,ACORN-Q,1
MAC000270,ACORN-E,2
MAC000271,ACORN-F,2
MAC000272,ACORN-H,2
MAC000273,ACORN-E,0
MAC000274,ACORN-E,0
MAC000275,ACORN-E,2
MAC000276,ACORN-F,2
MAC000277,ACORN-F,2
MAC000278,ACORN-G,2
MAC000279,ACORN-F,2
MAC000280,ACORN-E,2
MAC000281,ACORN-K,1
MAC000282,ACORN-E,2
MAC000283,ACORN-P,1
MAC000284,ACORN-E,2
MAC000285,ACORN-Q,1
MAC000286,ACORN-F,2
MAC000287,ACORN-E,2
MAC000288,ACORN-E,2
MAC000289,ACORN-D,2
MAC000290,ACORN-K,1
MAC000291,ACORN-D,0
MAC000292,ACORN-Q,1
MAC000293,ACORN-Q,1
MAC000294,ACORN-H,2
MAC000295,ACORN-E,2
MAC000296,ACORN-E,0
MAC000297,ACORN-E,2
MAC000298,ACORN-E,2
MAC000299,ACORN-E,2
MAC000300,ACORN-E,0
MAC000301,ACORN-E,0
MAC000302,ACORN-E,2
MAC000303,ACORN-L,1
MAC000304,ACORN-E,2
MAC000305,ACORN-Q,1
MAC000306,ACORN-E,2
MAC000307,ACORN-E,0
MAC000308,ACORN-E,2
MAC000309,ACORN-E,0
MAC000310,ACORN-L,1
MAC000311,ACORN-D,0
MAC000312,ACORN-E,0
MAC000313,ACORN-Q,1
MAC000314,ACORN-F,2
MAC000315,ACORN-E,2
MAC000316,ACORN-Q,1
MAC000317,ACORN-D,2
MAC000318,ACORN-Q,1
MAC000319,ACORN-F,2
MAC000320,ACORN-E,0
MAC000321,ACORN-E,0
MAC000322,ACORN-D,2
MAC000323,ACORN-A,0
MAC000324,ACORN-E,2
MAC000325,ACORN-E,2
MAC000326,ACORN-D,0
MAC000327,ACORN-E,0
MAC000328,ACORN-F,2
MAC000329,ACORN-Q,1
MAC000330,ACORN-E,2
MAC000331,ACORN-E,0
MAC000332,ACORN-E,2
MAC000333,ACORN-Q,1
MAC000334,ACORN-Q,1
MAC000335,ACORN-E,2
MAC000336,ACORN-D,2
MAC000337,ACORN-P,1
MAC000338,ACORN-E,2
MAC000339,ACORN-A,0
MAC000340,ACORN-H,2
MAC000341,ACORN-H,2
MAC000342,ACORN-D,2
MAC000343,ACORN-K,1
MAC000344,ACORN-E,2
MAC000345,ACORN-E,2
MAC000346,ACORN-E,2
MAC000347,ACORN-F,2
MAC000348,ACORN-G,2
MAC000349,ACORN-E,2
MAC000350,ACORN-P,1
MAC000351,ACORN-E,2
MAC000352,ACORN-G,2
MAC000353,ACORN-E,2
MAC000354,ACORN-L,1
MAC000355,ACORN-E,2
MAC000356,ACORN-E,2
MAC000357,ACORN-E,2
MAC000358,ACORN-E,0
MAC000359,ACORN-E,2
MAC000360,ACORN-H,2
MAC000361,ACORN-E,2
MAC000362,ACORN-Q,1
MAC000363,ACORN-O,1
MAC000364,ACORN-Q,1
MAC000365,ACORN-Q,1
MAC000366,ACORN-F,2
MAC000367,ACORN-E,2
MAC000368,ACORN-E,2
MAC000369,ACORN-F,2
MAC000370,ACORN-E,2
MAC000371,ACORN-F,2
MAC000372,ACORN-E,2
MAC000373,ACORN-L,1
MAC000374,ACORN-E,2
MAC000375,ACORN-H,2
MAC000376,ACORN-E,2
MAC000377,ACORN-D,2
MAC000378,ACORN-E,2
MAC000379,ACORN-A,0
MAC000380,ACORN-E,2
MAC000381,ACORN-H,0
MAC000382,ACORN-H,2
MAC000383,ACORN-P,1
MAC000384,ACORN-E,2
MAC000385,ACORN-Q,1
MAC000386,ACORN-A,2
MAC000387,ACORN-E,2
MAC000388,ACORN-E,0
MAC000389,ACORN-E,2
MAC000390,ACORN-L,1
MAC000391,ACORN-Q,1
MAC000392,ACORN-Q,1
MAC000393,ACORN-D,2
